"State","Sector","Fuel","Year","Value"
"Alabama","Transport","Total",2004,34.8
"Alabama","Electricity","Coal",2004,71.2
"Alabama","Electricity","Petroleum Products",2004,0.1
"Alabama","Electricity","Natural Gas",2004,6.4
"Alabama","Electricity","Total",2004,77.6
"Alabama","Residential","Coal",2005,0
"Alabama","Residential","Petroleum Products",2005,0.4
"Alabama","Residential","Natural Gas",2005,2.3
"Alabama","Residential","Total",2005,2.7
"Alabama","Commercial","Coal",2005,0
"Alabama","Commercial","Petroleum Products",2005,0.5
"Alabama","Commercial","Natural Gas",2005,1.4
"Alabama","Commercial","Total",2005,1.8
"Alabama","Industry","Coal",2005,8.5
"Alabama","Industry","Petroleum Products",2005,5.1
"Alabama","Industry","Natural Gas",2005,9.1
"Alabama","Industry","Total",2005,22.7
"Alabama","Transport","Coal",2005,0
"Alabama","Transport","Petroleum Products",2005,33.9
"Alabama","Transport","Natural Gas",2005,0.8
"Alabama","Transport","Total",2005,34.7
"Alabama","Electricity","Coal",2005,75.5
"Alabama","Electricity","Petroleum Products",2005,0.1
"Alabama","Electricity","Natural Gas",2005,5.7
"Alabama","Electricity","Total",2005,81.3
"Alabama","Residential","Coal",2006,0
"Alabama","Residential","Petroleum Products",2006,0.4
"Alabama","Residential","Natural Gas",2006,2.1
"Alabama","Residential","Total",2006,2.5
"Alabama","Commercial","Coal",2006,0.1
"Alabama","Commercial","Petroleum Products",2006,0.8
"Alabama","Commercial","Natural Gas",2006,1.3
"Alabama","Commercial","Total",2006,2.2
"Alabama","Industry","Coal",2006,8
"Alabama","Industry","Petroleum Products",2006,4.9
"Alabama","Industry","Natural Gas",2006,9.2
"Alabama","Industry","Total",2006,22.1
"Alabama","Transport","Coal",2006,0
"Alabama","Transport","Petroleum Products",2006,34.5
"Alabama","Transport","Natural Gas",2006,0.8
"Alabama","Transport","Total",2006,35.3
"Alabama","Electricity","Coal",2006,75.6
"Alabama","Electricity","Petroleum Products",2006,0.1
"Alabama","Electricity","Natural Gas",2006,7.9
"Alabama","Electricity","Total",2006,83.6
"Alabama","Residential","Coal",2007,0
"Alabama","Residential","Petroleum Products",2007,0.4
"Alabama","Residential","Natural Gas",2007,1.9
"Alabama","Residential","Total",2007,2.4
"Alabama","Commercial","Coal",2007,0
"Alabama","Commercial","Petroleum Products",2007,0.7
"Alabama","Commercial","Natural Gas",2007,1.3
"Alabama","Commercial","Total",2007,2
"Alabama","Industry","Coal",2007,7.6
"Alabama","Industry","Petroleum Products",2007,4.7
"Alabama","Industry","Natural Gas",2007,9.2
"Alabama","Industry","Total",2007,21.5
"Alabama","Transport","Coal",2007,0
"Alabama","Transport","Petroleum Products",2007,34.8
"Alabama","Transport","Natural Gas",2007,0.9
"Alabama","Transport","Total",2007,35.6
"Alabama","Electricity","Coal",2007,76.2
"Alabama","Electricity","Petroleum Products",2007,0.1
"Alabama","Electricity","Natural Gas",2007,9.6
"Alabama","Electricity","Total",2007,85.9
"Alabama","Residential","Coal",2008,0
"Alabama","Residential","Petroleum Products",2008,0.5
"Alabama","Residential","Natural Gas",2008,2.1
"Alabama","Residential","Total",2008,2.5
"Alabama","Commercial","Coal",2008,0
