"Year","State","Coal","Oil","Gas","Residential","Commercial","Industry","Transport","Electricity"
1984,"Utah",17.4,11.9,6.6,3.4,1.5,9.6,9.1,12.3
1984,"Vermont",0.1,4.6,0.3,1.4,0.4,0.5,2.6,0.1
1984,"Virginia",28.7,46.5,7.9,7.3,4.4,18.3,34.2,18.9
1984,"Washington",7.8,41.9,7,3.2,4.1,14.6,27.9,6.9
1984,"West Virginia",84.3,14.1,6.9,2.8,1.8,17.6,10.9,72.2
1984,"Wisconsin",34.2,30.6,16.4,9.6,6.2,14,21.6,29.8
1984,"Wyoming",33.8,7.7,4.8,1.1,0.9,8.8,4.8,30.7
1985,"Alabama",62.1,27.2,12.1,3,2.5,23.5,23.5,48.9
1985,"Alaska",1,16.9,11.4,1.4,2.1,12.2,10.9,2.7
1985,"Arizona",32.1,21.3,7.2,1.8,1.7,5.6,20.5,31
1985,"Arkansas",20.7,18.1,10.5,2.7,1.9,9.9,14.3,20.5
1985,"California",4.2,217.8,102.2,30.3,14.1,70.7,169.5,39.6
1985,"Colorado",28.1,21.2,11.1,5.1,4.1,5.3,19.4,26.5
1985,"Connecticut",2,32.2,4.2,6.8,4.1,3,14,10.5
1985,"Delaware",6.7,8.7,2.1,1.3,0.5,3.4,4.1,8.2
1985,"District of Columbia",0.4,2.8,1.5,1.2,1.4,0,1.9,0.2
1985,"Florida",44.4,92.2,16.2,2.2,6.7,13.6,67.8,62.5
1985,"Georgia",68.3,53.1,15.3,5.7,4.3,20.1,42,64.6
1985,"Hawaii",0.1,17,0,0,0.1,1.3,10.3,5.4
1985,"Idaho",0.8,6.9,2.2,0.7,0.8,2.8,5.6,0
1985,"Illinois",76,71.4,51.9,26.3,14.2,44.2,50.5,64.1
1985,"Indiana",111.5,47.9,23.1,9.9,6.1,52.9,36.5,77.1
1985,"Iowa",25.2,19.7,10.2,5,3.2,10.1,15.3,21.5
1985,"Kansas",24.4,25.7,18.9,4.6,3.4,18,18.1,24.9
1985,"Kentucky",67.3,29.7,9.5,4.5,3.1,18.4,22.3,58.2
1985,"Louisiana",14.9,80.9,74.4,3.5,3.3,92,41.6,29.8
1985,"Maine",0.5,14.2,0.1,2.7,1.3,2.4,6.7,1.7
1985,"Maryland",24,32.4,8.1,6.8,2.7,12.7,22.5,19.8
1985,"Massachusetts",10.3,57.9,11.7,14.3,6.9,7.6,27,24.1
1985,"Michigan",73.4,55.6,38,22.5,10.5,33.4,42.9,57.7
1985,"Minnesota",21.3,31.6,13.7,8.1,5.9,10.4,23.2,19
1985,"Mississippi",10.2,21.3,12.4,1.8,1.4,10.4,17.5,12.8
1985,"Missouri",49.8,36.7,14,8.2,4.6,11.5,30.4,45.8
1985,"Montana",9.3,10.1,2.4,1.3,1.2,4.7,5.7,8.9
1985,"Nebraska",10.9,13,6.5,2.8,2.4,5,9.7,10.5
1985,"Nevada",11.8,9.2,2.2,1,0.9,1.3,7.9,12.1
1985,"New Hampshire",3.7,9.1,0.5,2.3,0.7,1,4.5,4.8
1985,"New Jersey",9.8,83.3,19.9,17.2,9.2,14.7,57.1,14.8
1985,"New Mexico",25.3,12.6,8.7,1.8,1.3,5.8,11.1,26.6
1985,"New York",28.3,119.3,41.6,34.4,25,22,58,49.8
1985,"North Carolina",51.8,47.9,7.4,6.3,3.8,15.8,34.9,46.3
1985,"North Dakota",28.5,7.9,1.4,1.1,1,9.4,4.8,21.5
1985,"Ohio",130.2,72.6,39.3,21.1,10.7,53.2,53.1,104
1985,"Oklahoma",22.3,30.2,32,4.6,2.7,21.8,23.7,31.7
1985,"Oregon",1,21.5,4.6,2.3,1.8,5,17.3,0.7
1985,"Pennsylvania",131.9,85.3,34.3,25.9,12,57.4,53.4,102.8
1985,"Rhode Island",0,6.9,1.6,2.5,0.9,1,3.6,0.5
1985,"South Carolina",24.6,24,5.2,2.3,1.6,12.3,18.9,18.7
1985,"South Dakota",3.3,6.4,1.3,1.1,0.7,1.8,4.6,2.8
1985,"Tennessee",56.4,35.9,10.5,3,4.4,18.5,30.4,46.5
1985,"Texas",108,210,178.2,13.3,12.7,160.3,143.3,166.6
1985,"Utah",18.6,11.5,6.5,3.5,1.2,8.5,9.4,14
1985,"Vermont",0.2,4.7,0.3,1.5,0.5,0.5,2.6,0.1
1985,"Virginia",27.9,47,7.7,7.1,4.2,17.6,35.5,18.2
1985,"Washington",8.8,42.8,7.5,3.3,4.8,13.4,29.7,7.9
1985,"West Virginia",81.8,13.6,6.7,2.5,1.6,13.9,10.7,73.4
1985,"Wisconsin",33.9,30.2,16.5,9.9,5.6,13.7,22,29.4
1985,"Wyoming",38.1,7.6,4.6,0.9,0.9,8.7,4.8,35
1986,"Alabama",62,28.4,11.2,3.1,2.5,22.4,24.4,49.2
1986,"Alaska",1.2,19.6,10.9,1.3,5,12.2,10.6,2.6
1986,"Arizona",27.8,22.6,5.6,1.6,1.6,6.4,21.1,25.3
1986,"Arkansas",21.1,18.1,10.7,2.6,1.5,9.2,14.6,22
1986,"California",4,221,84.4,26.5,14,66.3,175.2,27.4
1986,"Colorado",27.8,21.7,10,4.5,3.6,5.6,19.6,26.2
1986,"Connecticut",2,33.7,4.2,7.7,4,3,14.2,11
1986,"Delaware",6.2,9,1.8,1.1,0.4,3.3,4.3,7.9
1986,"District of Columbia",0.1,3.5,1.5,1.1,1.7,0.1,2,0.2
1986,"Florida",43.2,105.4,15.8,2.1,7.1,11.3,71.7,72.2
1986,"Georgia",65,50.9,15.2,5.9,4.1,15.6,44.2,61.3
1986,"Hawaii",0,16.7,0,0,0.1,1.8,9.1,5.7
1986,"Idaho",0.8,7.1,1.9,0.7,0.8,2.7,5.6,0
1986,"Illinois",75.4,73.5,48.8,25,12.9,46.3,49.8,63.7
1986,"Indiana",105.9,50.9,21.1,9.9,5.6,48.5,38.6,75.3
1986,"Iowa",24.6,20.1,8.7,4.7,2.7,10.1,15,20.9
1986,"Kansas",23.6,25.4,16.4,4,3.2,15.6,18.6,24
1986,"Kentucky",70.4,29.8,9.2,4.5,3,16.6,23.4,61.9
1986,"Louisiana",16.2,87.5,77.3,3.4,3.1,96.8,47,30.7
1986,"Maine",0.8,17.9,0.1,3,1.8,4.6,7.2,2.2
1986,"Maryland",25.8,32.1,8.2,6.8,2.8,11.9,23.1,21.5
1986,"Massachusetts",9.3,66.2,10,14.7,7.5,9.8,27.5,26
1986,"Michigan",76.1,58,36.4,22.3,9.7,33.6,44.3,60.6
1986,"Minnesota",19,32.3,13,8.1,5.1,10.9,23.4,16.8
1986,"Mississippi",10.2,23.1,11.7,1.8,1.3,10.1,18.8,13
1986,"Missouri",48.2,37.6,13,7.9,4.6,9.9,31.9,44.5
1986,"Montana",12.5,8.5,2.2,1.2,0.9,3.4,5.7,12
1986,"Nebraska",10.3,13.1,5.5,2.6,2.1,4.6,9.8,9.8
1986,"Nevada",15.1,9.9,1.9,0.9,0.9,1.3,8.2,15.6
1986,"New Hampshire",2.3,11.2,0.5,2.2,1,1.3,4.9,4.6
1986,"New Jersey",7.3,89,18.7,17,10.5,15,59.4,13.1
1986,"New Mexico",22.7,12.5,7.7,1.6,1.4,4.7,11.6,23.6
1986,"New York",23.7,128.7,39.7,36.3,28.6,19.2,59.2,48.8
1986,"North Carolina",54.9,50,7.5,6.2,3.5,17.1,36.9,48.7
1986,"North Dakota",29.3,8,1.1,1.1,0.8,10.4,4.7,21.4
1986,"Ohio",134.3,71.6,39.5,22,11.5,49.8,54.8,107.3
1986,"Oklahoma",20.4,27.5,30.2,4,2.3,19.3,22.6,29.9
1986,"Oregon",0.3,22.4,3.8,2,1.8,5.1,17.6,0
1986,"Pennsylvania",123.5,89.4,33.5,25.4,12.6,51.7,55.7,101
1986,"Rhode Island",0.1,8,1.5,2.4,1.4,1.1,4,0.7
1986,"South Carolina",24.8,24.1,5.5,2.4,1.9,11.9,19.5,18.7
